,Pandas,Pandas,Pandas,Pandas,Rapids,Rapids,Rapids
,Test Size,Test,Total,Average,Test,Total,Average
0,0.0037901600000000003,Mean,0.0009686946868896484,0.00032289822896321613,Mean,0.002632617950439453,0.000877539316813151
1,0.0037901600000000003,Sort,0.003915309906005859,0.0013051033020019531,Sort,0.014081239700317383,0.004693746566772461
2,0.0037901600000000003,Merge,0.07567787170410156,0.02522595723470052,Merge,0.021024465560913086,0.007008155186971028
3,0.0037901600000000003,Filter,0.003929853439331055,0.0013099511464436848,Filter,0.010693550109863281,0.0035645167032877603
4,0.0037901600000000003,All,0.03704571723937988,0.012348572413126627,All,0.04759073257446289,0.015863577524820965
5,0.007580160000000001,Mean,0.0003027915954589844,0.00010093053181966145,Mean,0.0022144317626953125,0.0007381439208984375
6,0.007580160000000001,Sort,0.004338979721069336,0.0014463265736897786,Sort,0.014156103134155273,0.004718701044718425
7,0.007580160000000001,Merge,0.05699777603149414,0.018999258677164715,Merge,0.022891998291015625,0.007630666097005208
8,0.007580160000000001,Filter,0.00490570068359375,0.0016352335611979167,Filter,0.01032257080078125,0.00344085693359375
9,0.007580160000000001,All,0.0656592845916748,0.021886428197224934,All,0.04960012435913086,0.016533374786376953
10,0.01516016,Mean,0.00039386749267578125,0.0001312891642252604,Mean,0.0022630691528320312,0.0007543563842773438
11,0.01516016,Sort,0.008140325546264648,0.002713441848754883,Sort,0.014446020126342773,0.004815340042114258
12,0.01516016,Merge,0.10830974578857422,0.036103248596191406,Merge,0.029453039169311523,0.009817679723103842
13,0.01516016,Filter,0.009073257446289062,0.003024419148763021,Filter,0.01037907600402832,0.0034596920013427734
14,0.01516016,All,0.12782859802246094,0.04260953267415365,All,0.057930707931518555,0.01931023597717285
15,0.030320160000000002,Mean,0.0006957054138183594,0.00023190180460611978,Mean,0.0022079944610595703,0.0007359981536865234
16,0.030320160000000002,Sort,0.01779794692993164,0.00593264897664388,Sort,0.01637434959411621,0.00545811653137207
17,0.030320160000000002,Merge,0.2551612854003906,0.0850537618001302,Merge,0.0428621768951416,0.014287392298380533
18,0.030320160000000002,Filter,0.018640756607055664,0.006213585535685222,Filter,0.011305809020996094,0.0037686030069986978
19,0.030320160000000002,All,0.30521225929260254,0.10173741976420085,All,0.07484555244445801,0.024948517481486004
20,0.060640160000000005,Mean,0.0012738704681396484,0.0004246234893798828,Mean,0.002235889434814453,0.0007452964782714844
21,0.060640160000000005,Sort,0.04207181930541992,0.014023939768473307,Sort,0.020894765853881836,0.006964921951293945
22,0.060640160000000005,Merge,0.5347027778625488,0.17823425928751627,Merge,0.06559610366821289,0.021865367889404297
23,0.060640160000000005,Filter,0.03708839416503906,0.012362798055013021,Filter,0.01448202133178711,0.004827340443929036
24,0.060640160000000005,All,0.622159481048584,0.20738649368286133,All,0.10587811470031738,0.0352927049001058
25,0.122542653,Mean,0.002456188201904297,0.0008187294006347656,Mean,0.002271413803100586,0.0007571379343668619
26,0.122542653,Sort,0.08076095581054688,0.026920318603515625,Sort,0.02991962432861328,0.00997320810953776
27,0.122542653,Merge,1.2343566417694092,0.4114522139231364,Merge,0.10212206840515137,0.03404068946838379
28,0.122542653,Filter,0.05138802528381348,0.01712934176127116,Filter,0.026068925857543945,0.008689641952514648
29,0.122542653,All,1.4029455184936523,0.4676485061645508,All,0.15523743629455566,0.05174581209818522
30,0.24761945300000002,Mean,0.004721641540527344,0.0015738805135091145,Mean,0.0031502246856689453,0.0010500748952229817
31,0.24761945300000002,Sort,0.17666411399841309,0.05888803799947103,Sort,0.047049760818481445,0.01568325360616048
32,0.24761945300000002,Merge,2.32702374458313,0.77567458152771,Merge,0.1318798065185547,0.0439599355061849
33,0.24761945300000002,Filter,0.07614374160766602,0.02538124720255534,Filter,0.025291919708251953,0.00843063990275065
34,0.24761945300000002,All,2.6070728302001953,0.8690242767333984,All,0.17621994018554688,0.05873998006184896
35,0.49058450600000003,Mean,0.009077787399291992,0.0030259291330973306,Mean,0.0031135082244873047,0.0010378360748291016
36,0.49058450600000003,Sort,0.3727095127105713,0.1242365042368571,Sort,0.05246996879577637,0.01748998959859212
37,0.49058450600000003,Merge,5.020693302154541,1.6735644340515137,Merge,0.1686241626739502,0.05620805422465006
38,0.49058450600000003,Filter,0.11829614639282227,0.03943204879760742,Filter,0.025796890258789062,0.008598963419596354
39,0.49058450600000003,All,5.529792070388794,1.8432640234629314,All,0.25042200088500977,0.08347400029500325
40,0.974396126,Mean,0.01672053337097168,0.0055735111236572266,Mean,0.0032911300659179688,0.0010970433553059895
41,0.974396126,Sort,0.6830768585205078,0.2276922861735026,Sort,0.07858610153198242,0.026195367177327473
42,0.974396126,Merge,9.40317678451538,3.134392261505127,Merge,0.282120943069458,0.09404031435648601
43,0.974396126,Filter,0.21288323402404785,0.07096107800801595,Filter,0.028402328491210938,0.009467442830403646
44,0.974396126,All,10.284518003463745,3.4281726678212485,All,0.3946096897125244,0.13153656323750815
45,1.922491707,Mean,0.034656524658203125,0.011552174886067709,Mean,0.00393986701965332,0.0013132890065511067
46,1.922491707,Sort,1.7114877700805664,0.5704959233601888,Sort,0.14437532424926758,0.048125108083089195
47,1.922491707,Merge,15.6711106300354,5.223703543345134,Merge,0.41742396354675293,0.13914132118225098
48,1.922491707,Filter,0.3954455852508545,0.13181519508361816,Filter,0.0340275764465332,0.011342525482177734
49,1.922491707,All,17.77872061729431,5.9262402057647705,All,0.6042454242706299,0.2014151414235433
50,3.777333892,Mean,0.09409117698669434,0.031363725662231445,Mean,0.005379676818847656,0.001793225606282552
51,3.777333892,Sort,4.133204698562622,1.377734899520874,Sort,0.2843475341796875,0.09478251139322917
52,3.777333892,Merge,27.304208755493164,9.10140291849772,Merge,0.613440752029419,0.204480250676473
53,3.777333892,Filter,0.7588300704956055,0.25294335683186847,Filter,0.0502314567565918,0.016743818918863933
54,3.777333892,All,32.30794882774353,10.76931627591451,All,0.9801216125488281,0.3267072041829427
55,7.636587496000001,Mean,0.1837444305419922,0.0612481435139974,Mean,0.011231422424316406,0.0037438074747721353
56,7.636587496000001,Sort,8.977171182632446,2.9923903942108154,Sort,0.5579879283905029,0.18599597613016763
57,7.636587496000001,Merge,29.820806741714478,9.940268913904825,Merge,1.0722107887268066,0.35740359624226886
58,7.636587496000001,Filter,3.7877726554870605,1.2625908851623535,Filter,0.11526155471801758,0.038420518239339195
59,7.636587496000001,All,51.93087816238403,17.310292720794678,All,1.77048659324646,0.59016219774882
